no_can;chapitre;designation
583 311 001;583;Mise à terre de fondation /m
583 311 002;583;Point de raccordement depuis
583 312 211;583;Pontage avec
583 312 311;583;Ligne avec prise de terre
583 312 421;583;Ligne pour terre/équipotialité
583 321 101;583;Point de séparation Cu AP
583 321 102;583;Point de séparation Cu ENC
583 321 201;583;Ligne descente paratonnerre
583 321 202;583;Ligne descente paratonnerre
583 321 203;583;Ligne descente paratonnerre
583 321 301;583;Organe capteur paratonnerre
583 321 302;583;Organe capteur paratonnerre
583 321 401;583;Mât capteur paratonnerre
583 321 402;583;Mât capteur paratonnerre
583 321 501;583;Ligne capteur paratonnerre
583 411 612;583;Ligne pour Eap (Racc)
583 441 111;583;Ligne avec boîte de dérivation
583 441 113;583;Ligne avec boîte de dérivation
583 711 112;583;Ligne avec interrupteur
583 715 113;583;Ligne pour senseur
583 721 112;583;Ligne pour luminaire
583 811 313;583;Ligne avec interrupteur IPX
583 814 122;583;Ligne avec interrupteur IPX
583 821 114;583;Ligne pour récepteur (Racc)
583 821 121;583;Ligne pour récepteur (Racc)
583 821 122;583;Ligne pour récepteur (Racc)
583 821 123;583;Ligne pour récepteur (Racc)
583 821 312;583;Ligne pour récepteur (Racc)
583 831 113;583;Ligne de liaison (Racc)
583 835 113;583;Ligne de liaison (Racc)
583 841 111;583;Ligne avec prise
583 841 211;583;Ligne avec prise CEE IPX4 230V 16A, longueur de ligne jusqu'à 5m
583 841 212;583;Ligne avec prise CEE IPX4 230V 16A, longueur de ligne plus de 5 à 10m
583 841 213;583;Ligne avec prise CEE IPX4 230V 16A, longueur de ligne plus de 10 à 25m
583 841 214;583;Ligne avec prise CEE IPX4 230V 16A, longueur de ligne plus de 25 à 50m
583 841 231;583;Ligne avec prise IPX
583 841 313;583;Ligne avec prise
583 841 411;583;Ligne avec prise CEE IPX4 400V 16A, longueur de ligne jusqu'à 5m
583 841 412;583;Ligne avec prise CEE IPX4 400V 16A, longueur de ligne plus de 5 à 10m
583 841 413;583;Ligne avec prise CEE IPX4 400V 16A, longueur de ligne plus de 10 à 25m
583 841 414;583;Ligne avec prise CEE IPX4 400V 16A, longueur de ligne plus de 25 à 50m
583 841 464;583;Ligne avec prise IPX
583 871 211;583;Tube vide 2x M50 et 2x M40 avec auxiliaire de tirage et boîte de passage avec couvercle, d'un seul côté, longueur de ligne jusqu'à 5m
583 871 212;583;Tube vide 2x M50 et 2x M40 avec auxiliaire de tirage et boîte de passage avec couvercle, d'un seul côté, longueur de ligne plus de 5 jusqu'à 10m
583 871 213;583;Tube vide 2x M50 et 2x M40 avec auxiliaire de tirage et boîte de passage avec couvercle, d'un seul côté, longueur de ligne plus de 10 jusqu'à 15m
583 871 221;583;Tube vide 2x M63 et 2x M50 avec auxiliaire de tirage et boîte de passage avec couvercle, d'un seul côté, longueur de ligne jusqu'à 5m
583 871 222;583;Tube vide 2x M63 et 2x M50 avec auxiliaire de tirage et boîte de passage avec couvercle, d'un seul côté, longueur de ligne plus de 5 jusqu'à 10m
583 871 223;583;Tube vide 2x M63 et 2x M50 avec auxiliaire de tirage et boîte de passage avec couvercle, d'un seul côté, longueur de ligne plus de 10 jusqu'à 15m
583 871 311;583;Tube vide 2x M50 et 2x M40 avec auxiliaire de tirage et boîtes de passage avec couvercles, des deux côté, longueur de ligne jusqu'à 5m
583 871 312;583;Tube vide 2x M50 et 2x M40 avec auxiliaire de tirage et boîtes de passage avec couvercles, des deux côté, longueur de ligne plus de 5 jusqu'à 10m
583 871 313;583;Tube vide 2x M50 et 2x M40 avec auxiliaire de tirage et boîtes de passage avec couvercles, des deux côté, longueur de ligne plus de 10 jusqu'à 15m
583 871 321;583;Tube vide 2x M63 et 2x M50 avec auxiliaire de tirage et boîtes de passage avec couvercles, des deux côté, longueur de ligne jusqu'à 5m
