categorie;ensemble;couleur;code_couleur;fnr_complet;e_no_complet;designation_complet;piece;qte;fnr_piece;e_no_piece;designation_piece
PRISE;Prise T13 simple;blanc;61;87003.FMI.61;639113000;Prise ENC EDIZIOdue T13 blanc 88×88×41mm;interieur;1;87003.BSM;633072000;Intérieur prise FH BSM T13
PRISE;Prise T13 simple;blanc;61;87003.FMI.61;639113000;Prise ENC EDIZIOdue T13 blanc 88×88×41mm;kit_frontal;1;920-87003.FMI.61;378501000;Kit frontal ENC EDIZIOdue blanc 88×88mm 1×T13
PRISE;Prise T13 simple;noir;60;87003.FMI.60;639113950;Prise ENC EDIZIOdue T13 noir 88×88×41mm;interieur;1;87003.BSM;633072000;Intérieur prise FH BSM T13
PRISE;Prise T13 simple;noir;60;87003.FMI.60;639113950;Prise ENC EDIZIOdue T13 noir 88×88×41mm;kit_frontal;1;920-87003.FMI.60;378501950;Kit frontal ENC EDIZIOdue noir 88×88mm 1×T13
PRISE;Prise T13 simple;crema;35;87003.FMI.35;639113010;Prise ENC EDIZIOdue T13 crema;interieur;1;87003.BSM;633072000;Intérieur prise FH BSM T13
PRISE;Prise T13 simple;crema;35;87003.FMI.35;639113010;Prise ENC EDIZIOdue T13 crema;kit_frontal;1;920-87003.FMI.35;378501010;Kit frontal ENC EDIZIOdue crema 88×88mm 1×T13
PRISE;Prise T13 simple;gris clair;65;87003.FMI.65;639113030;Prise ENC EDIZIOdue T13 gris clair;interieur;1;87003.BSM;633072000;Intérieur prise FH BSM T13
PRISE;Prise T13 simple;gris clair;65;87003.FMI.65;639113030;Prise ENC EDIZIOdue T13 gris clair;kit_frontal;1;920-87003.FMI.65;378501030;Kit frontal ENC EDIZIOdue gris clair 88×88mm 1×T13
PRISE;Prise T13 simple;gris fonce;67;87003.FMI.67;639113040;Prise ENC EDIZIOdue T13 gris foncé;interieur;1;87003.BSM;633072000;Intérieur prise FH BSM T13
PRISE;Prise T13 simple;gris fonce;67;87003.FMI.67;639113040;Prise ENC EDIZIOdue T13 gris foncé;kit_frontal;1;920-87003.FMI.67;378501040;Kit frontal ENC EDIZIOdue gris foncé 88×88mm 1×T13
PRISE;Prise T13 simple;coffee;57;87003.FMI.57;639113890;Prise ENC EDIZIOdue T13 coffee;interieur;1;87003.BSM;633072000;Intérieur prise FH BSM T13
PRISE;Prise T13 simple;coffee;57;87003.FMI.57;639113890;Prise ENC EDIZIOdue T13 coffee;kit_frontal;1;920-87003.FMI.57;378501890;Kit frontal ENC EDIZIOdue coffee 88×88mm 1×T13
PRISE;Prise T13 simple avec shutter;blanc;61;87003.FMI.K.61;639123000;Prise ENC EDIZIOdue T13 blanc avec shutter;interieur;1;87003.BSM;633072000;Intérieur prise FH BSM T13
PRISE;Prise T13 simple avec shutter;blanc;61;87003.FMI.K.61;639123000;Prise ENC EDIZIOdue T13 blanc avec shutter;kit_frontal;1;920-87003.FMI.K.61;378511000;Kit frontal ENC EDIZIOdue blanc 88×88mm 1×T13 avec shutter
PRISE;Prise T13 simple avec shutter;noir;60;87003.FMI.K.60;639123950;Prise ENC EDIZIOdue T13 noir avec shutter;interieur;1;87003.BSM;633072000;Intérieur prise FH BSM T13
PRISE;Prise T13 simple avec shutter;noir;60;87003.FMI.K.60;639123950;Prise ENC EDIZIOdue T13 noir avec shutter;kit_frontal;1;920-87003.FMI.K.60;378511950;Kit frontal ENC EDIZIOdue noir 88×88mm 1×T13 avec shutter
PRISE;Prise T13 simple avec shutter;crema;35;87003.FMI.K.35;639123010;Prise ENC EDIZIOdue T13 crema avec shutter;interieur;1;87003.BSM;633072000;Intérieur prise FH BSM T13
PRISE;Prise T13 simple avec shutter;crema;35;87003.FMI.K.35;639123010;Prise ENC EDIZIOdue T13 crema avec shutter;kit_frontal;1;920-87003.FMI.K.35;378511010;Kit frontal ENC EDIZIOdue crema 88×88mm 1×T13 avec shutter
PRISE;Prise T13 simple avec shutter;gris clair;65;87003.FMI.K.65;639123030;Prise ENC EDIZIOdue T13 gris clair, avec shutter;interieur;1;87003.BSM;633072000;Intérieur prise FH BSM T13
PRISE;Prise T13 simple avec shutter;gris clair;65;87003.FMI.K.65;639123030;Prise ENC EDIZIOdue T13 gris clair, avec shutter;kit_frontal;1;920-87003.FMI.K.65;378511030;Kit frontal ENC EDIZIOdue gris clair 88×88mm 1×T13 avec shutter
PRISE;Prise T13 simple avec shutter;gris fonce;67;87003.FMI.K.67;639123040;Prise ENC EDIZIOdue T13 gris foncé avec shutter;interieur;1;87003.BSM;633072000;Intérieur prise FH BSM T13
PRISE;Prise T13 simple avec shutter;gris fonce;67;87003.FMI.K.67;639123040;Prise ENC EDIZIOdue T13 gris foncé avec shutter;kit_frontal;1;920-87003.FMI.K.67;378511040;Kit frontal ENC EDIZIOdue gris foncé 88×88mm 1×T13 avec shutter
PRISE;Prise T13 simple avec shutter;coffee;57;87003.FMI.K.57;639123890;Prise ENC EDIZIOdue T13 coffee avec shutter;interieur;1;87003.BSM;633072000;Intérieur prise FH BSM T13
PRISE;Prise T13 simple avec shutter;coffee;57;87003.FMI.K.57;639123890;Prise ENC EDIZIOdue T13 coffee avec shutter;kit_frontal;1;920-87003.FMI.K.57;378511890;Kit frontal ENC EDIZIOdue coffee 88×88mm 1×T13 avec shutter
PRISE;Prise 2xT13;blanc;61;87203.FMI.61;657114000;Prise ENC EDIZIOdue 2×T13 blanc;interieur;1;87203.BSM;653705000;Intérieur prise FH 2×T13 BSM
PRISE;Prise 2xT13;blanc;61;87203.FMI.61;657114000;Prise ENC EDIZIOdue 2×T13 blanc;kit_frontal;1;920-87203.FMI.61;378502000;Kit frontal EDIZIOdue blanc 88×88mm 2×T13
PRISE;Prise 2xT13;noir;60;87203.FMI.60;657114950;Prise ENC EDIZIOdue 2×T13 noir;interieur;1;87203.BSM;653705000;Intérieur prise FH 2×T13 BSM
PRISE;Prise 2xT13;noir;60;87203.FMI.60;657114950;Prise ENC EDIZIOdue 2×T13 noir;kit_frontal;1;920-87203.FMI.60;378502950;Kit frontal EDIZIOdue noir 88×88mm 2×T13
PRISE;Prise 2xT13;crema;35;87203.FMI.35;657114010;Prise ENC EDIZIOdue 2×T13 crema;interieur;1;87203.BSM;653705000;Intérieur prise FH 2×T13 BSM
PRISE;Prise 2xT13;crema;35;87203.FMI.35;657114010;Prise ENC EDIZIOdue 2×T13 crema;kit_frontal;1;920-87203.FMI.35;378502010;Kit frontal EDIZIOdue crema 88×88mm 2×T13
PRISE;Prise 2xT13;gris clair;65;87203.FMI.65;657114030;Prise ENC EDIZIOdue 2×T13 gris clair;interieur;1;87203.BSM;653705000;Intérieur prise FH 2×T13 BSM
PRISE;Prise 2xT13;gris clair;65;87203.FMI.65;657114030;Prise ENC EDIZIOdue 2×T13 gris clair;kit_frontal;1;920-87203.FMI.65;378502030;Kit frontal EDIZIOdue gris clair 88×88mm 2×T13
PRISE;Prise 2xT13;gris fonce;67;87203.FMI.67;657114040;Prise ENC EDIZIOdue 2×T13 gris foncé;interieur;1;87203.BSM;653705000;Intérieur prise FH 2×T13 BSM
PRISE;Prise 2xT13;gris fonce;67;87203.FMI.67;657114040;Prise ENC EDIZIOdue 2×T13 gris foncé;kit_frontal;1;920-87203.FMI.67;378502040;Kit frontal EDIZIOdue gris foncé 88×88mm 2×T13
PRISE;Prise 2xT13;coffee;57;87203.FMI.57;657114890;Prise ENC EDIZIOdue 2×T13 coffee;interieur;1;87203.BSM;653705000;Intérieur prise FH 2×T13 BSM
PRISE;Prise 2xT13;coffee;57;87203.FMI.57;657114890;Prise ENC EDIZIOdue 2×T13 coffee;kit_frontal;1;920-87203.FMI.57;378502890;Kit frontal EDIZIOdue coffee 88×88mm 2×T13
PRISE;Prise 2xT13 avec shutter;blanc;61;87203.FMI.K.61;657124000;Prise ENC EDIZIOdue 2×T13 blanc avec shutter;interieur;1;87203.BSM;653705000;Intérieur prise FH 2×T13 BSM
PRISE;Prise 2xT13 avec shutter;blanc;61;87203.FMI.K.61;657124000;Prise ENC EDIZIOdue 2×T13 blanc avec shutter;kit_frontal;1;920-87203.FMI.K.61;378512000;Kit frontal EDIZIOdue blanc 88×88mm 2×T13 avec shutter
PRISE;Prise 2xT13 avec shutter;noir;60;87203.FMI.K.60;657124950;Prise ENC EDIZIOdue 2×T13 noir avec shutter;interieur;1;87203.BSM;653705000;Intérieur prise FH 2×T13 BSM
PRISE;Prise 2xT13 avec shutter;noir;60;87203.FMI.K.60;657124950;Prise ENC EDIZIOdue 2×T13 noir avec shutter;kit_frontal;1;920-87203.FMI.K.60;378512950;Kit frontal EDIZIOdue noir 88×88mm 2×T13 avec shutter
PRISE;Prise 2xT13 avec shutter;crema;35;87203.FMI.K.35;657124010;Prise ENC EDIZIOdue 2×T13 crema, avec shutter;interieur;1;87203.BSM;653705000;Intérieur prise FH 2×T13 BSM
PRISE;Prise 2xT13 avec shutter;crema;35;87203.FMI.K.35;657124010;Prise ENC EDIZIOdue 2×T13 crema, avec shutter;kit_frontal;1;920-87203.FMI.K.35;378512010;Kit frontal EDIZIOdue crema 88×88mm 2×T13 avec shutter
PRISE;Prise 2xT13 avec shutter;gris clair;65;87203.FMI.K.65;657124030;Prise ENC EDIZIOdue 2×T13 gris clair, avec shutter;interieur;1;87203.BSM;653705000;Intérieur prise FH 2×T13 BSM
PRISE;Prise 2xT13 avec shutter;gris clair;65;87203.FMI.K.65;657124030;Prise ENC EDIZIOdue 2×T13 gris clair, avec shutter;kit_frontal;1;920-87203.FMI.K.65;378512030;Kit frontal EDIZIOdue gris clair 88×88mm 2×T13 avec shutter
PRISE;Prise 2xT13 avec shutter;gris fonce;67;87203.FMI.K.67;657124040;Prise ENC EDIZIOdue 2×T13 gris foncé avec shutter;interieur;1;87203.BSM;653705000;Intérieur prise FH 2×T13 BSM
PRISE;Prise 2xT13 avec shutter;gris fonce;67;87203.FMI.K.67;657124040;Prise ENC EDIZIOdue 2×T13 gris foncé avec shutter;kit_frontal;1;920-87203.FMI.K.67;378512040;Kit frontal EDIZIOdue gris foncé 88×88mm 2×T13 avec shutter
PRISE;Prise 2xT13 avec shutter;coffee;57;87203.FMI.K.57;657124890;Prise ENC EDIZIOdue 2×T13 coffee avec shutter;interieur;1;87203.BSM;653705000;Intérieur prise FH 2×T13 BSM
PRISE;Prise 2xT13 avec shutter;coffee;57;87203.FMI.K.57;657124890;Prise ENC EDIZIOdue 2×T13 coffee avec shutter;kit_frontal;1;920-87203.FMI.K.57;378512890;Kit frontal EDIZIOdue coffee 88×88mm 2×T13 avec shutter
PRISE;Prise 2xT13 dont 1 commutee;blanc;61;87203.FMI.S.61;657134000;Prise ENC EDIZIOdue 2×T13 blanc 1×S;interieur;1;87203.BSM.S;653706000;Intérieur prise FH 2×T13/1S BSM
PRISE;Prise 2xT13 dont 1 commutee;blanc;61;87203.FMI.S.61;657134000;Prise ENC EDIZIOdue 2×T13 blanc 1×S;kit_frontal;1;920-87203.FMI.S.61;378520000;Kit frontal EDIZIOdue blanc 88×88mm 2×T13/1
PRISE;Prise 2xT13 dont 1 commutee;noir;60;87203.FMI.S.60;657134950;Prise ENC EDIZIOdue 2×T13 noir 1×S;interieur;1;87203.BSM.S;653706000;Intérieur prise FH 2×T13/1S BSM
PRISE;Prise 2xT13 dont 1 commutee;noir;60;87203.FMI.S.60;657134950;Prise ENC EDIZIOdue 2×T13 noir 1×S;kit_frontal;1;920-87203.FMI.S.60;378520950;Kit frontal EDIZIOdue noir 88×88mm 2×T13/1
PRISE;Prise 2xT13 dont 1 commutee;crema;35;87203.FMI.S.35;657134010;Prise ENC EDIZIOdue 2×T13 crema 1×S;interieur;1;87203.BSM.S;653706000;Intérieur prise FH 2×T13/1S BSM
PRISE;Prise 2xT13 dont 1 commutee;crema;35;87203.FMI.S.35;657134010;Prise ENC EDIZIOdue 2×T13 crema 1×S;kit_frontal;1;920-87203.FMI.S.35;378520010;Kit frontal EDIZIOdue crema 88×88mm 2×T13/1
PRISE;Prise 2xT13 dont 1 commutee;gris clair;65;87203.FMI.S.65;657134030;Prise ENC EDIZIOdue 2×T13 gris clair, 1×S;interieur;1;87203.BSM.S;653706000;Intérieur prise FH 2×T13/1S BSM
