fnr;e_no;designation;code_couleur;ean;article_suivi_snapfix
0.KOMB.FMI.1X1.35;383101010;En-tête ENC EDIZIOdue 1×1 crema;35;7611386059594;
0.KOMB.FMI.1X1.57;383101890;En-tête ENC EDIZIOdue 1×1 coffee;57;7611386059631;
0.KOMB.FMI.1X1.60;383101950;En-tête ENC EDIZIOdue 1×1 noir;60;7611386059648;
0.KOMB.FMI.1X1.61;383101000;En-tête ENC EDIZIOdue 1×1 blanc;61;7611386059655;
0.KOMB.FMI.1X1.65;383101030;En-tête ENC EDIZIOdue 1×1 gris clair;65;7611386059662;
0.KOMB.FMI.1X1.67;383101040;En-tête ENC EDIZIOdue 1×1 gris foncé;67;7611386059679;
0.KOMB.FMI.1X2.35;383102010;En-tête ENC EDIZIOdue 1×2 crema;35;7611386652252;
0.KOMB.FMI.1X2.57;383102890;En-tête ENC EDIZIOdue 1×2 coffee;57;7611386532059;
0.KOMB.FMI.1X2.60;383102950;En-tête ENC EDIZIOdue 1×2 noir;60;7611386766454;
0.KOMB.FMI.1X2.61;383102000;En-tête ENC EDIZIOdue 1×2 blanc;61;7611386833163;
0.KOMB.FMI.1X2.65;383102030;En-tête ENC EDIZIOdue 1×2 gris clair;65;7611386766461;
0.KOMB.FMI.1X2.67;383102040;En-tête ENC EDIZIOdue 1×2 gris foncé;67;7611386766478;
0.KOMB.FMI.1X3.35;383103010;En-tête ENC EDIZIOdue 1×3 crema;35;7611386652269;
0.KOMB.FMI.1X3.57;383103890;En-tête ENC EDIZIOdue 1×3 coffee;57;7611386532110;
0.KOMB.FMI.1X3.60;383103950;En-tête ENC EDIZIOdue 1×3 noir;60;7611386766560;
0.KOMB.FMI.1X3.61;383103000;En-tête ENC EDIZIOdue 1×3 blanc;61;7611386833170;
0.KOMB.FMI.1X3.65;383103030;En-tête ENC EDIZIOdue 1×3 gris clair;65;7611386766577;
0.KOMB.FMI.1X3.67;383103040;En-tête ENC EDIZIOdue 1×3 gris foncé;67;7611386766584;
0.KOMB.FMI.1X4.35;383104010;En-tête ENC EDIZIOdue 1×4 crema;35;7611386652276;
0.KOMB.FMI.1X4.57;383104890;En-tête ENC EDIZIOdue 1×4 coffee;57;7611386534886;
0.KOMB.FMI.1X4.60;383104950;En-tête ENC EDIZIOdue 1×4 noir;60;7611386766676;
0.KOMB.FMI.1X4.61;383104000;En-tête ENC EDIZIOdue 1×4 blanc;61;7611386833187;
0.KOMB.FMI.1X4.65;383104030;En-tête ENC EDIZIOdue 1×4 gris clair;65;7611386766683;
0.KOMB.FMI.1X4.67;383104040;En-tête ENC EDIZIOdue 1×4 gris foncé;67;7611386766690;
0.KOMB.FMI.2X1.35;383111010;En-tête ENC EDIZIOdue 2×1 crema;35;7611386652283;
0.KOMB.FMI.2X1.57;383111890;En-tête ENC EDIZIOdue 2×1 coffee;57;7611386534985;
0.KOMB.FMI.2X1.60;383111950;En-tête ENC EDIZIOdue 2×1 noir;60;7611386766782;
0.KOMB.FMI.2X1.61;383111000;En-tête ENC EDIZIOdue 2×1 blanc;61;7611386833194;
0.KOMB.FMI.2X1.65;383111030;En-tête ENC EDIZIOdue 2×1 gris clair;65;7611386766799;
0.KOMB.FMI.2X1.67;383111040;En-tête ENC EDIZIOdue 2×1 gris foncé;67;7611386766805;
0.KOMB.FMI.2X2.35;383112010;En-tête ENC EDIZIOdue 2×2 crema;35;7611386652290;
0.KOMB.FMI.2X2.57;383112890;En-tête ENC EDIZIOdue 2×2 coffee;57;7611386537467;
